name,origin_name_,sponsor_name_,sector_name_,period_name_,reference_period_name_,unit_of_enumeration_name_,organization_name_,administrative_data,legal_authority,observations,industry_name_,naics_coverage,documentation_url,short_description,long_description,limitations,fti,id,id_18
LEHD Infrastucture Data,Census Bureau constructed data,Bureau of the Census,Business,Quarterly,Calendar Quarter,"Combination of Establishments, Companies and/or Enterprises",Bureau of the Census,y,"Titles 13, 26 U.S.C.",All workers and firms from 25 (soon 31) states.,Combination (industries),,http://lehd.did.census.gov/led/library/techpapers/tp-2002-05-rev1.pdf,"The LEHD Masterfile is a linked database of administrative, census, and survey records for individuals and businesses.  Uses state unemployment wage records, state ES-202 data, Census Consolidated Person Record, and Census Personal Characteristics File to add demographic information to the individual-level master file; quarterly business information to the SEIN and SEINUNIT level employer master files, and earnings information to the employment history master file. All are components of the LEHD master file system. The Health and Human Services TANF file and an expanded number of state Unemployment Insurance System data files (national coverage) required to accomplish the tasks of LEHD will be added in 2005.",,i) These data are ONLY available to Census Internal Projects (ii) The LEHD files are being introduced to the CES/RDC system in 2004. These are large files that require additional computer resources on the RDC thin client network. The timing of the availability of these files in 2005 is contingent on the acquisition and installation of these computer resources. (iii) Approved projects must use data pooled across multiple states and specific state effects (or more disaggregated geographic effects) can be controlled for but not reported in published results.,n,169,169
LEHD SIPP-SSA Earnings files,Federal Government Agency,Bureau of the Census,Households,Annually,Calendar Year,Individual Person,Social Security Administration (SSA),y,,"individuals from 1984, 1990, 1991, 1992, 1993, 1996, and 2001 SIPP surveys",Combination (industries),,,"SSA/IRS Master Earnings File, SSA/IRS Summary Earnings Record. These files are in support of ARTS Project ID 458.  The purpose of this project is to link SSA administrative earnings records to respondents in the above-mentioned SIPP surveys.  This link will allow LEHD to assess the quality of SIPP survey data and to suggest means of improving the data collection process.  This linkage also supports the creation of the SIPP-SSA Administrative Data Public Use File.
Coverage:  SSA/IRS Master Earnings File 1978-2003, SSA/IRS Summary Earnings Record 1937-2003","SSA/IRS Master Earnings File, SSA/IRS Summary Earnings Record. These files are in support of ARTS Project ID 458.  The purpose of this project is to link SSA administrative earnings records to respondents in the above-mentioned SIPP surveys.  This link will allow LEHD to assess the quality of SIPP survey data and to suggest means of improving the data collection process.  This linkage also supports the creation of the SIPP-SSA Administrative Data Public Use File. 
Coverage:  SSA/IRS Master Earnings File 1978-2003, SSA/IRS Summary Earnings Record 1937-2003",(i) These data are ONLY available to Census Internal Projects (ii) The LEHD files are being introduced to the CES/RDC system in 2004. These are large files that require additional computer resources on the RDC thin client network. The timing of the availability of these files in 2005 is contingent on the acquisition and installation of these computer resources. (iii) these files contain Title26 confidential data and hence their use is governed by MOUs with SSA and IRS.,n,171,171
LEHD SIPP-SSA Benefits Files,Federal Government Agency,Bureau of the Census,Households,Annually,Calendar Year,Individual Person,Social Security Administration (SSA),y,,"individuals from 1984, 1990, 1991, 1992, 1993, 1996, and 2001 SIPP surveys","Agriculture, Forestry, Fishing, and Hunting",,,"SSA Master Beneficiary Records. 831 Disability Application File, SSA Supplemental Security Record. These files are in support of ARTS Project ID 458.  The purpose of this project is to link SSA administrative benefits records to respondents in the above-mentioned SIPP surveys.  This link will allow LEHD to assess the quality of SIPP survey data and to suggest means of improving the data collection process.  This linkage also supports the creation of the SIPP-SSA Administrative Data Public Use File.  
Coverage:  SSA Master Beneficiary Record: 1962-2003, SSA Supplemental Security Record 1974-2003, SSA 831 Disability Application File: 1986-2003","SSA Master Beneficiary Records. 831 Disability Application File, SSA Supplemental Security Record. These files are in support of ARTS Project ID 458.  The purpose of this project is to link SSA administrative benefits records to respondents in the above-mentioned SIPP surveys.  This link will allow LEHD to assess the quality of SIPP survey data and to suggest means of improving the data collection process.  This linkage also supports the creation of the SIPP-SSA Administrative Data Public Use File.
Coverage:  SSA Master Beneficiary Record: 1962-2003, SSA Supplemental Security Record 1974-2003, SSA 831 Disability Application File: 1986-2003",(i) These data are ONLY available to Census Internal Projects (ii) The LEHD files are being introduced to the CES/RDC system in 2004. These are large files that require additional computer resources on the RDC thin client network. The timing of the availability of these files in 2005 is contingent on the acquisition and installation of these computer resources. (iii) these files contain confidential SSA data and hence their use is governed by an MOU with SSA.,n,172,172
LEHD SIPP-PUF Project files,Census Bureau constructed data,Bureau of the Census,Households,Annually,Calendar Month,Individual Person,Bureau of the Census,n,,"individuals from 1990, 1991, 1992, 1993, and 1996 SIPP surveys",Combination (industries),,,"The purpose of the SIPP-PUF project is to create a public use file that contains variables from the SIPP surveys conducted in the 1990s and variables from SSA administrative data.  To this end, administrative earnings and benefit data have been linked to a subset of SIPP variables from each panel and then a master file containing individuals from all panels has been created.  The master file (the Gold Standard) and its auxiliary files are the input into data synthesizing programs which create synthetic data that can potentially be publicly released.  

Coverage: 1937-2003","The purpose of the SIPP-PUF project is to create a public use file that contains variables from the SIPP surveys conducted in the 1990s and variables from SSA administrative data.  To this end, administrative earnings and benefit data have been linked to a subset of SIPP variables from each panel and then a master file containing individuals from all panels has been created.  The master file (the Gold Standard) and its auxiliary files are the input into data synthesizing programs which create synthetic data that can potentially be publicly released.  

Coverage: 1937-2003",(i) These data are ONLY available to Census Internal Projects (ii) The LEHD files are being introduced to the CES/RDC system in 2004. These are large files that require additional computer resources on the RDC thin client network. The timing of the availability of these files in 2005 is contingent on the acquisition and installation of these computer resources. (iii) these files contain Title26 confidential data and hence their use is governed by MOUs with SSA and IRS.,n,173,173
Decennial Census,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,decennially (every ten years),Other,Combination (household units),Bureau of the Census,n,Title 13 United States Code,"The ""short form"" is a complete count of residents of the United States. The ""long form"" is a sample of individuals and households.  The 1980, 1990 and 2000 long-form files sample roughly 1-in-6 persons and households. The 1970 sample is 1-in-5.  ",Other (industries),None.  Uses an industry classification system developed specifically for the Decennial Census and derived from the 1987 SIC system.,http://2010.census.gov/2010census/data/,"The U.S. Census counts every resident in the United States. It is mandated by Article I, Section 2 of the Constitution and takes place every 10 years.  The basic purpose of the census is apportionment and redistricting. ""Apportionment"" is the process of dividing the 435 memberships, or seats, in the House of Representatives among the 50 states based on the population figures collected during the decennial census. ""Redistricting"" is the process of geographically defining state legislative districts.  The census data allow state officials to realign congressional and state legislative districts in their states, taking into account population shifts since the last census and assuring equal representation for their constituents in compliance with the “one-person, one-vote” principle of the 1965 Voting Rights Act.

The decennial census has also gathered information on a variety of social and economic characteristics of the population.  As early as the 19th century, policymakers in the Congress and elsewhere, as well as statisticians and other scholars, urged that information be gathered about additional subjects while the population was being enumerated. Since that time, population and housing subjects have been added and deleted to reflect changes in society and, by extension, the changing needs for information. Concerned about burdening respondents with too many questions, the Census Bureau introduced modern sampling techniques in the 1940 census. The 1960 census was the first to use the ""long form"" administered to a sample of households, while most households received a “short form” containing only the most basic demographic questions needed for apportionment and to ensure an accurate census total.  This method was used through the 2000 census.  The social and economic information gathered on the ""long form"" is now collected using the American Community Survey, and all respondents received a ""short form"" in the 2010 census.
","<h4>Apportionment and Redistricting</h4>

<p>The U.S. Census counts every resident in the United States. It is mandated by Article I, Section 2 of the Constitution and takes place every 10 years.  The basic purpose of the census is apportionment and redistricting. ""Apportionment"" is the process of dividing the 435 memberships, or seats, in the House of Representatives among the 50 states based on the population figures collected during the decennial census. ""Redistricting"" is the process of geographically defining state legislative districts.  The census data allow state officials to realign congressional and state legislative districts in their states, taking into account population shifts since the last census and assuring equal representation for their constituents in compliance with the “one-person, one-vote” principle of the 1965 Voting Rights Act.</p>

<h4>The ""Long Form""</h4>

<p>The decennial census has also gathered information on a variety of social and economic characteristics of the population.  As early as the 19th century, policymakers in the Congress and elsewhere, as well as statisticians and other scholars, urged that information be gathered about additional subjects while the population was being enumerated. Since that time, population and housing subjects have been added and deleted to reflect changes in society and, by extension, the changing needs for information. Concerned about burdening respondents with too many questions, the Census Bureau introduced modern sampling techniques in the 1940 census. The 1960 census was the first to use the ""long form"" administered to a sample of households, while most households received a “short form” containing only the most basic demographic questions needed for apportionment and to ensure an accurate census total.  This method was used through the 2000 census.  The social and economic information gathered on the ""long form"" is now collected using the American Community Survey, and all respondents received a ""short form"" in the 2010 census.</p>","The Decennial Census Long Form Sample is a 1-in-6 sample of all households in the U.S..  The questions asked of this sample include age, race, sex, educational attainment, income, place of work, occupation, household relationships, housing unit characteristics, etc.  Because these files are large, processing with them can be very time and resource intensive.  In cases where there is no valid response for an individual (or household where applicable), the item is filled in using a system of allocation.  Allocation consists of using the response of a similar observation to fill in a missing item.

A great deal of documentation of the Decennial Census is available. Refer to the Census Bureau's web site (<a href=http://www.census.gov>www.census.gov</a>.  The publicly available documentation that is most relevant for the CES long-form files is:

Census of Population and Housing, 1990: Public Use Microdata Sample U.S. Technical Documentation/ prepared by the Bureau of the Census -- Washington, DC: The Bureau, 1992. For the 2000 Dec. Census, see <a href=http://www.census.gov/prod/cen2000/doc/pums.pdf>http://www.census.gov/prod/cen2000/doc/pums.pdf.</a> The PUMS documentation provides descriptions of how the data was collected, processed, and recoded.  For most variables, there are general and specific discussions of the variables included.  This documentation also includes some item specific code lists.  The CES long-form files usually contain the most detailed code available for an item.  For example, the long form files contain a 3-digit race code that covers more than 800 races or tribes, compared to the more standard 2-digit race code that covers 63 races or tribes. The codebook for the PUMS available through ICPSR (see above URL) are very similar to this technical documentation.For major differences between the 1990 and 2000 census questionnaires, please go to <a href=http://www.census.gov/population/www/cen2000/90vs00.html>http://www.census.gov/population/www/cen2000/90vs00.html </a>",n,175,175
LEHD Employer Human Capital File,Census Bureau constructed data,Bureau of the Census,Business,Annually,Calendar Year,Establishment,Bureau of the Census,y,"Title 13, U.S.C.",Approximately 4 million establishments from more than 20 states.,Combination (industries),Non-Farm Private Sector,http://lehd.did.census.gov/led/library/techpapers/tp-2002-09.pdf,"Contains various measures of human capital at the establishment as defined in Abowd, Lengermann, and McKinney (2002).  The LEHD employer-level human capital measures are created for approximately 20 selected states from longitudinally integrated person and establishment-level data.  These measures summarize the complete distribution of workers\' human capital at the EIN/SIC2/County level.   Employer-level measures include deciles and quartiles of human capital obtained from kernel density estimates using the ALM methodology.   The LEHD-HCF may be used in combination with the LEHD Business Register Bridge (LEHD-BRB) to match to other Census micro business databases.  Years of data available vary by state.",,(i) The LEHD files are being introduced to the CES/RDC system in 2005.  These are large files that require additional computer resources on the RDC thin client network.  The timing of the availability of these files in 2005 is contingent on the acquisition and installation of these computer resources. (ii) Approved projects must use data pooled across multiple states and specific state effects (or more disaggregated geographic effects) can be controlled for but not reported in published results.,n,176,176
LEHD Snapshot Files,Census Bureau constructed data,Bureau of the Census,Multiple,Annually,Calendar Quarter,Combination (any units),Bureau of the Census,y,,,Combination (industries),,,Files part of project work in support of ARTS Project ID 445 (LEHD Infrastructure Project).  The purpose of this project is to analyze and improve LEHD Infrastructure files. These datasets will be available ultimately in the  CES Data Warehouse.   ,"Files part of project work in support of ARTS Project ID 445 (LEHD Infrastructure Project).  The purpose of this project is to analyze and improve LEHD Infrastructure files. These datasets will be available ultimately in the  CES Data Warehouse. Coverage:  1985-2004, exact years vary by source.  ",(i) These data are ONLY available to Census Internal Projects (ii) The LEHD files are being introduced to the CES/RDC system in 2005. These are large files that require additional computer resources on the RDC thin client network. The timing of the availability of these files in 2005 is contingent on the acquisition and installation of these computer resources. (iii) these files contain Title26 confidential data and hence their use is governed by MOUs with SSA and IRS.,n,177,177
LEHD Geocoded Address List,Census Bureau constructed data,Bureau of the Census,Multiple,Irregular,Irregular,Combination (any units),Bureau of the Census,y,"Title 13, U.S.C., Title 26 U.S.C.",Varies by state,Combination (industries),All,http://lehd.did.census.gov/led/library/tech user guides.html,"The Geocoded Address List (GAL) is a data set containing unique commercial and residential addresses in a state geocoded to the Census Block and latitude/longitude coordinates. The file encompasses addresses from the state ES202 data, the Business Register (a.k.a. SSEL), the Census Bureau?s Master Address File (MAF), the American Community Survey Place of Work file (ACS-POW), and others.  It covers years 1990-2005 (years covered vary by state).  ","The Geocoded Address List (GAL) is a data set containing unique commercial and residential addresses in a state geocoded to the Census Block and latitude/longitude coordinates. The file encompasses addresses from the state ES202 data, the Business Register (a.k.a. SSEL), the Census Bureau?s Master Address File (MAF), the American Community Survey Place of Work file (ACS-POW), and others.  It covers years 1990-2005 (years covered vary by state).  ",The LEHD files are being introduced to the CES/RDC system in 2004. These are large files that require additional computer resources on the RDC thin client network. The timing of the availability of these files in 2005 is contingent on the acquisition and installation of these computer resources. ,y,178,178
SIPP Public-Use Crosswalk,Census Bureau Survey - no sponsorship,Bureau of the Census,Other,Annually,Calendar Year,Individual Person,Bureau of the Census,y,,,Other (industries),,,"The  SIPP Crosswalk (SXW) contains the identification number used in the public use SIPP file and a protected identification key (PIK) that appears in demographic administrative record files available through CES.  The crosswalk files are used to link SIPP records with the administrative records.
",,,n,180,180
American Community Survey,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,Annually,Calendar Year,Housing Unit,Bureau of the Census,n,Title 13,"In USA and Puerto Rico, about 250,000 addresses per month, or 2.5% of the population or approximately three million households per year, will receive the survey.",Other (industries),,http://www.census.gov/acs/www/,"The American Community Survey (ACS) is part of the Decennial Census Program. This survey is sent to a random sample of households in the United States and Puerto Rico on a rotating basis. The ACS collects information from U.S. households similar to what was collected on the decennial census ""long form,"" such as age, race, sex, Hispanic origin, income and benefits, health insurance, education, veteran status, disabilities, place of work and commuting, and housing costs. These data previously were collected only in census years in conjunction with the decennial census. Since the ACS is conducted every year, rather than once every ten years, it provides more current data throughout the decade.","<h4>A New Approach for Timely Information</h4>

<p>The American Community Survey (ACS) is part of the Decennial Census Program. This survey is sent to a random sample of households in the United States and Puerto Rico on a rotating basis. The ACS collects information from U.S. households similar to what was collected on the decennial census ""long form,"" such as age, race, sex, Hispanic origin, income and benefits, health insurance, education, veteran status, disabilities, place of work and commuting, and housing costs. These data previously were collected only in census years in conjunction with the decennial census. Since the ACS is conducted every year, rather than once every ten years, it provides more current data throughout the decade.</p>

<h4>Coverage and Sample Density</h4>

<p>The ACS is an ongoing survey that provides data on an annual basis. The ACS is a national survey sent to about 250,000 households each month or about 3,000,000 households per year.  The ACS began in 1996, collecting data in a limited number of areas. The survey expanded in subsequent years, reaching full national coverage in 2005. The Census Bureau now conducts the ACS in every county of the United States.

<h4>Single-Year and Multi-Year Data</h4>

<p>Beginning in 2008 the ACS combines data collected over the previous three years to provide aggregate data to the public for all areas of 20,000 or more.  Beginning in 2009 the ACS also combines data collected over the preceding five years to provide aggregate data to the public for small areas less than 20,000 with accuracy similar to the decennial census. The restricted access microdata files have also been combined in multi-year files, with a few modifications to the data to produce a unified file: First, the weights have been recalculated so that they roll up to the national total in the most recent year in the dataset.  Second, all geography has been reconciled to be consistent with the most recent year. Third, dollar values have been adjusted for inflation.  Fourth, in those cases where a question has changed, the multi-year data reflects a ""lowest common denominator"" version of that variable, so, for example, if valid responses to a survey question were changed from continuous to categorical, the continuous responses from earlier years would be changed to valid categorical values.  Fifth, only those questions asked in all years will be included in the multi-year data files.  That is, if a question is added to the survey or dropped from the survey during the five-year period, that variable will not be included in the five-year data file.
</p>",The CES version of the ACS microdata does not contain GQ household-level records,n,181,181
Hundred Percent Detail File,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,decennially (every ten years),Specific Date,Individual Person,Bureau of the Census,n,Title 13,"308,745,538",Non Applicable,N/A,http://2010.census.gov/2010census/index.php,,,"The Hundred Percent Detail (HDF) file is used to create the public aggregates and microdata products for the 2010 Decennial Census.  The HDF is derived from the Census Edited File (CEF) after a \\\""swapping\\\"" algorithm on key person characteristics is applied.  The HDF is the version of the files that should be accessed for virtually all research purposes.  An important consideration when accessing this file is not to comingle the HDF with another version of the 2010 Decennial before swapping is applied (DRF, CUF, CEF).",n,232,232
Company Organization Survey ,Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Annually,Calendar Year,Enterprise (firm),Bureau of the Census,n,"T13, T26",,Combination (industries),,http://www.census.gov/econ/overview/mu0700.html,"Companies identify establishments that have been sold, closed, continued, started, and acquired; report first quarter and annual payroll, and employment during the pay period that included March 12, for each establishment; indicate any large foreign equity positions; and indicate controlling interests held by other domestic or foreign-owned organizations.","An annual mail-out/mail-back survey of some selected companies. Smaller companies are selected where separate administrative data indicate a probable organizational change, and by a probability sampling procedure. Both larger and smaller companies are identified from those maintained on the Business Register.

Data is collected from the Report of Organization Survey, the Annual Survey of Manufactures, and added to administrative records.

For years ending in 2 and 7 (census years), companies report only on basic company affiliation and operations of establishments not within scope of the economic censuses. For non-census years, all multi-establishment companies with 250 or more employees report survey information. For non-census years, smaller companies are divided into panels and may be selected to report information for one of the years. Smaller companies may be selected because an operating change is indicated or by a probability sampling procedure.

Forms include a pre-printed list of establishments previously identified as owned by the company and space for the company to report additional establishments. Forms for single establishment companies collect information on each location operated to determine if the companies actually have more than one establishment. Reports submitted by electronic methods have grown to cover some 40 percent of all surveyed establishments. ",,n,233,233
AHRQ MEPS Extract,Federal Government Agency,Bureau of the Census,Multiple,Annually,Calendar Year,Combination (any units),Other,n,,,Other (industries),,http://www.meps.ahrq.gov/mepsweb/data_stats/onsite_datacenter.jsp,"The Center for Economic Studies (CES) is pleased to announce that the Census Bureau has reached agreement with the Agency for Healthcare Research and Quality (AHRQ) to make AHRQ's restricted Medical Expenditure Panel Survey (MEPS) data available to qualified researchers through the Census Research Data Center (RDC) network.
","The Center for Economic Studies (CES) is pleased to announce that the Census Bureau has reached agreement with the Agency for Healthcare Research and Quality (AHRQ) to make AHRQ's restricted Medical Expenditure Panel Survey (MEPS) data available to qualified researchers through the Census Research Data Center (RDC) network.

Proposals will be accepted by CES beginning July 1, 2007 to use AHRQ data sets. AHRQ has specified a proposal format on their data center website and will handle all proposal review and also disclosure avoidance review for their data; they have agreed to waive their fee for creating the researcher's data extract for RDC researchers. Standard Census RDC access charges, if any, will apply. Proposals to use their data at any site other than their headquarters site in Rockville MD will be submitted through the standard Census RDC proposal process, but will not have to meet Census Bureau standards, just AHRQ standards (see their website). (Proposals to use confidential data from both the Census Bureau and the AHRQ must use the existing Census Bureau application procedure, and will also be reviewed by AHRQ, and the Internal Revenue Service if tax data is involved.)

All researchers will need to become Special Sworn Status (SSS) employees of the Census Bureau -- in case of incidental access to confidential Census Bureau or Internal Revenue Service data while in an RDC -- and will also be required to become National Center for Health Statistics agents (as AHRQ data is based on the National Health Interview Survey), and take the appropriate training for both roles.

Researchers currently using the Rockville AHRQ data center will be able to transfer their research to a Census RDC site once they become SSS employees. Contact the appropriate Census RDC Administrator for more information on the SSS process.

For more information on the proposal process or the datasets, see the AHRQ data center web site at http://www.meps.ahrq.gov/mepsweb/data_stats/onsite_datacenter.jsp

List of Medical Expenditure Panel Survey Datasets that will be available:

   1. Household Component-Insurance Component linked file (1996-1999, 2001)
   2. Nursing Home Component (1996)
   3. Medical Provider Component (except directly identifiable data)
   4. Two-Year, Two-Panel Files
   5. Area Resource File (county-level data that can be linked to MEPS-HC)
   6. MEPS-HC Public Use Files 

AHRQ will create a custom extract (e.g., merged analytic files with linking variables removed) for each project.

Please contact AHRQ at CFACTDC@AHRQ.HHS.GOV for complete details on additional non-public MEPS data available for RDC use. Other AHRQ confidential data files may be made available at a later date. ",,n,193,193
Unit-to-Worker,Multiple or Other,Bureau of the Census,Business,Irregular,Three (3) Months,Individual Person,Bureau of the Census,y,,,Combination (industries),,,The unit-to-worker file contains contains ten (10) imputed establishments for each worker of a multi-unit employer.,,,n,201,201
Business Register Bridge,Census Bureau constructed data,Bureau of the Census,Business,Quarterly,Three (3) Months,"Combination of Establishments, Companies and/or Enterprises",Bureau of the Census,n,"Title 13, U.S.C., Title 26 U.S.C.",450 million records across three separate files,Combination (industries),SIC only,http://lehd.did.census.gov/led/library/tech_user_guides.html,"The LEHD employer-level data are stored at both an establishment and firm level
and can be linked to Census Bureau establishment and firm level microdata (e.g. Economic Censuses and Surveys) via Business Register Bridge (BRB). The bridge provides a crosswalk at various levels of business unit aggregation. The most detailed exact crosswalk is at an EIN, State, 4-digit industry, county level.
The bridge includes the full list of establishments in the LEHD data and in the Business Register that are associated with the business units (e.g., EIN/4-digit SIC/State/County) in the crosswalk.","One of the many advantages of the LEHD database is the ability it offers to link information from Census Bureau business-level surveys (such as the Annual Survey of Manufacturers (ASM), or Business Expenditure Survey (BES)) to the set of workers employed by these units. The LEHD Business Register Bridge (BRB) provides researchers with the tool to make this linkage. The primary bridge between the LEHD data and the business data is the U.S. Census Bureau’s annual Business Register (BR), a list of establishments the Bureau uses to develop the initial mailing list for the economic censuses and surveys. The BR contains data from several different sources. Primarily, however, the BR contains very reliable information on business identifiers, business organizational structure, and business location. All of this detail helps us to form links to the LEHD data. Unfortunately, we are not able to directly form establishment-to-establishment linkages between LEHD data and the Business Register. The establishment identification system for the BR is the same as for all other Census Bureau business data products but different from the LEHD establishment identifier. Unfortunately, there is no one best way to form linkages between these data sources. There are many alternatives, and the optimal linking strategy depends on the research objective. To provide researchers with as much flexibility as possible, the BRB has been constructed as a crosswalk that allows for a number of different ways to integrate these data sources.","The Business Register and the EHF/ECF represent two different attempts to build a universe of active firms. Due to timing differences, the coverage of the two data sources will differ. Also, collection and reporting methods also play a role in the coverage available at any point in time. Differences in the two universes should therefore be expected and the implications of these differences should be taken into account when using the BRB.",y,194,194
Employer Characteristics File - 2008,Multiple or Other,Bureau of the Census,Business,Quarterly,Three (3) Months,"Combination of Establishments, Companies and/or Enterprises",Bureau of the Census,y,"Title 13, U.S.C., Title 26 U.S.C.",587 million records covering 32 states through 2004,Combination (industries),All,http://www.census.gov/ces/dataproducts/lehddata.html,"The Employer Characteristics File (ECF) consolidates most firm level information (size, location, industry, etc.) into two easily accessible files. The firm or SEIN level file contains one record for every YEAR QUARTER a firm is present on either the ES-202 or the UI, with more detailed information
available for the establishments of multi-unit firms in the SEIN SEINUNIT file. The SEIN file is built up from the SEINUNIT file and contains no additional information, but should be viewed merely as an easier and/or more efficient way to access firm level data.","The primary data source for the Employer Characteristics File (ECF) are the ES-
202 files. The ES-202 files contain information at both the firm and establishment level and the ECF continues this structure, but the ”master” records are removed and the firm level information is appended to the establishment data. The next major source of data comes from the UI/EHF. Person level job information is aggregated to the firm level and is merged with the ES-202 information. The union of these two data sources determines the set of records on the ECF. The ES-202 data contains among other variables, information on establishment location, Federal EIN, and industry. Any missing establishment characteristics are filled with information from the closest quarter, the firm level mode, and eventually imputed, if no firm specific information is available. The UI/EHF and the ES-202 both contribute information on payroll and
employment. Various algorithms are used to combine this information in the most sensible way possible. Finally, the address information available on the ES-202 is processed through an address standardization and Geographic Information System (GIS) processing system to create the Geocoded Address List (GAL). The resulting establishment level geocode information from the GAL is then merged back onto the ECF.","The quality of the ECF depends primarily on the quality of the incoming UI and ES-202 data as received from the state. The quality of the data is generally high for 2000 and beyond, but earlier years’ historical data files may be incomplete. Although the data undergoes various quality control checks and
imputations of missing values once received at LEHD, in some cases this is only a partial solution. States, also vary in the quality of the establishment level data reported for multi-unit firms. The lack of consistent reporting of establishment level information can greatly affect the geographic dispersion of employment and payroll. In both 1992 and 1997 efforts were made to expand the collection of establishment level data. Expansions in the number of establishments in those years are likely not related to new economic activity,
but reflect improved collection activities. Many states have only partial coverage of sectors such as agriculture, state government, and local municipalities. Federal government workers are also not typically covered. Due to limitations in the historical data, some years and quarters may not have complete coverage on both the EHF and ES-202 and this will be reflected in the ECF as well.",y,195,195
Geocoded Address List,Census Bureau constructed data,Bureau of the Census,Multiple,Irregular,Other,"Combination of Establishments, Companies and/or Enterprises",Bureau of the Census,y,"Title 13, U.S.C., Title 26 U.S.C.",Varies by state,Combination (industries),All,http://lehd.did.census.gov/led/library/tech_user_guides.html,"The Geocoded Address List (GAL) is a dataset containing unique commercial and residential  addresses in a state geocoded to the Census Block and to latitude/longitude coordinates.  It consists of the address list (GAL) and a crosswalk for each processed file-year.  The GAL contains each unique address, identified by a GAL identifier called ""galid,"" its geocodes, a flag for each file-year in which it appears, data quality indicators, and data processing information, including the release date of the Geographic Reference File (GAF).  The GAL Crosswalk contains the ID of each input entity and the ID of its address (galid).",,Not all data is available nationally.,y,196,196
Employment History Files - 2008,Census Bureau constructed data,Bureau of the Census,Multiple,Quarterly,Three (3) Months,Other (any unit),Bureau of the Census,y,MOU between Census Bureau and individual state agencies.  Protected under Title 13,Varies by state,Combination (industries),All except for agricultural workers,http://www.census.gov/ces/dataproducts/lehddata.html,"The Employment History File (EHF) provides a full time-series of earnings at all
within-state jobs for all quarters covered by the LEHD system and provided by the state. It also provides activity calendars at a job, firm, and sub-firm reporting unit level.  The EHF contains no Federal Tax Information (FTI).","The Employment History Files (EHF) are designed to store the complete in-state
work history for each individual that appears in the UI wage records. The EHF for each state contains one record for each employee-employer combination–a job–in that state in each year. Both annual and quarterly earnings variables are available in the EHF. Individuals who are employed, but never have strictly positive earnings at their employing SEIN (a theoretical possibility) in a given year do not have a record in the EHF for that year. To facilitate analysis, the EHF data are restructured into another file containing one observation per job (PIK-SEIN combination), with all quarterly earnings and activity information available on that record. The restructured file is called the Person History File (PHF). It should be noted that the actual file
structure is at the PIK-SEIN-SEINUNIT-YEAR level for the EHF, and at the PIK-SEIN-SEINUNIT level for the PHF. Although only one state (Minnesota) has non-zero values for SEINUNIT, this allows the file structure to be homogeneous across states. An active job within a quarter, the primary job-level economic
activity measure, is defined as having strictly positive quarterly earnings for the individual-employer pair that define the job.  A time-series similar to the aggregated job data, but based on observed activity (positive employment)
in the ES-202 records, is availabe and computed at the SEINUNIT level (Unit History File, UHF) and the SEIN level (SEIN History File, SHF).","No edits have been applied to these data. Under-reporting, data loss, etc. may affect diverse states and quarters. The data documentation has an up-to-date list of such data issues. The LEHD Program suggests users use Bayesian multiple imputation models to address such issues.",n,197,197
ES-202 Files,State or Local Government Agency,Bureau of the Census,Multiple,Quarterly,Three (3) Months,"Combination of Establishments, Companies and/or Enterprises",Bureau of the Census,y,"Title 13, U.S.C., Title 26 U.S.C.",Varies by state,Combination (industries),All,http://lehd.did.census.gov/led/library/tech_user_guides.html,"The ES-202 data contains firm reports of business demographic information such as
industry, number and type of establishments, location, etc. These files contain detailed name and address information that is not on the Employer Characteristics File (ECF). The files also contain monthly data on payroll and employment that is reported on a quarterly basis.","The ES-202 is the common name for the Bureau of Labor Statistics (BLS) Quarterly Census of Employment and Wages (QCEW) program. These data are the main source of firm characteristics. The primary variables of interest are location, industry, and the number and type of establishments. The ES-202 data is the only source of detailed information about multi-unit firms in the LEHD Infrastructure, which play an important role in the production of both the QWI and OTM. Without this information all employment and payroll would be clustered at one geographic location, rather than at each establishment.","The quality of the ES-202 files depend primarily on the quality of the incoming ES-202 data as received from the state. The quality of the data is generally high for 2000 and beyond, but earlier years’ historical data files may be incomplete. Although the data undergoes various quality control checks once received at LEHD, in some cases portions of the original data cannot be restored from the state’s archives. States, also vary in the quality of the establishment level data reported for multi-unit firms. The lack of consistent reporting of establishment level information can greatly affect the geographic
dispersion of employment and payroll. In both 1992 and 1997 the states made a coordinated effort to expand the collection of establishment level data. Expansions in the number of establishments in those years are likely not related to new economic activity, but reflect improved collection activities.
While the UI/EHF data can be used to obtain various measures of payroll and employment, these measures are not based on employment at a specific point in time, but rather the employees with positive earnings at some time during the quarter. The ES-202 data contains the level of employment at the firm and its establishments on the 13th of each month. For firms with relatively stable employment, the two sources of data will be similar, however for firms with large numbers of accessions and separations, the two sources can differ substantially. Many states have only partial coverage of sectors such as agriculture, state government, and local municipalities. Federal government workers are also not typically covered. Due to limitations in the historical data, some years and quarters may not have complete coverage on the ES-202.",y,198,198
